,CATEGORIE,DATE,QUART,long,lat,Address,Neighborhood
7427,Méfait,2020-09-06,soir,-73.63249788254619,45.4849201342684,"5320, Avenue Isabella, Snowdon, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3X 2J1, Canada",
7428,Méfait,2020-09-06,nuit,-73.5763320381455,45.49654982479407,"1397, Rue Sainte-Catherine Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3H 2T2, Canada",
7429,Vol de véhicule à moteur,2020-09-06,nuit,-73.64163074872849,45.57307491172442,"Sauvé / D'Iberville, Rue d'Iberville, Sault-aux-Récollets, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2B2W3, Canada",
7430,Méfait,2020-09-06,soir,-73.53476347584774,45.6008688637261,"4900, Boulevard Lapointe, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1K 4W9, Canada",
7431,Méfait,2020-09-06,soir,-73.5926766186374,45.58266949928438,"5231, Rue Jarry Est, Port-Maurice, Saint-Léonard, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1R 3A9, Canada",
7432,Introduction,2020-09-06,jour,-73.6126151661696,45.56508186316533,"8290, Boulevard Saint-Michel, Saint-Michel, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1Z 3E3, Canada",
7433,Méfait,2020-09-06,soir,-73.53901860912983,45.589890545675495,"Rue Sherbrooke et rue du Trianon, Rue du Trianon, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1N 1E7, Canada",
7434,Vols qualifiés,2020-09-06,jour,-73.61363109762667,45.52197018717773,"810, Avenue Champagneur, Outremont, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2V 1V7, Canada",
7435,Introduction,2020-09-06,jour,-73.49677045030212,45.677467749293534,"Avenue Marcel Faribault, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 5J4, Canada",
7436,Introduction,2020-09-06,nuit,-73.85904846210293,45.47704163672216,"4359, Boulevard Jacques-Bizard, Pierrefonds-Ouest, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H9H 4G2, Canada",
7437,Introduction,2020-09-06,jour,-73.81546238491177,45.45385073297658,"87, Avenue Maywood, Pointe-Claire, Agglomération de Montréal, Montréal (06), Québec, H9R 1E9, Canada",
7438,Vol dans / sur véhicule à moteur,2020-09-06,jour,-73.61702110633541,45.540466393463575,"7376, Rue Lajeunesse, Crémazie, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2R 2H8, Canada",
7439,Vols qualifiés,2020-09-06,jour,-73.60542249807534,45.55347980489757,"2346, Rue Everett, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 2S9, Canada",
7440,Méfait,2020-09-06,jour,-73.84491811785907,45.49770064463545,"4904, Rue Fox, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8Z 1P7, Canada",
7441,Méfait,2020-09-06,jour,-73.57686043982511,45.48884869875588,"Boulevard Georges-Vanier et rue Saint-Antoine, Rue Saint-Antoine Ouest, Petite-Bourgogne, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3J 1B9, Canada",
7442,Méfait,2020-09-06,jour,-73.5530496883138,45.53317329068377,"2015, Rue Frontenac, Sainte-Marie, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2K 1W8, Canada",
7443,Vol de véhicule à moteur,2020-09-06,jour,-73.65614756791594,45.563191322531736,"1540, Rue Fleury Est, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2C 1T3, Canada",
7444,Méfait,2020-09-06,jour,-73.61829960272225,45.5058605105005,"5565, Avenue Woodbury, Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1B5, Canada",
7445,Méfait,2020-09-06,jour,-73.61829960272225,45.5058605105005,"5565, Avenue Woodbury, Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3T 1B5, Canada",
7446,Vol dans / sur véhicule à moteur,2020-09-06,jour,-73.55334157893806,45.51048252678353,"380, Rue du Champ-de-Mars, Vieux-Montréal, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2Y 1C8, Canada",
7447,Vol dans / sur véhicule à moteur,2020-09-06,soir,-73.58933051401853,45.49212429580167,"3505, Avenue Atwater, Montagne, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3Z, Canada",
7448,Vol de véhicule à moteur,2020-09-06,jour,-73.6046613061354,45.56437423081376,"Crémazie / Musset, Avenue de Musset, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2A 3L6, Canada",
7449,Méfait,2020-09-06,soir,-73.68754541943089,45.44264577346696,"703, 26e Avenue, Vieux-Lachine, Arrondissement de Lachine, Montréal, Agglomération de Montréal, Montréal (06), Québec, H8S 3Z4, Canada",
7450,Méfait,2020-09-06,soir,-73.62010655830048,45.55201874387813,"1555, Rue Jarry Est, Villeray, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2E 1A7, Canada",
7451,Vols qualifiés,2020-09-06,jour,-73.57615030044376,45.49953325235245,"1215, Boulevard De Maisonneuve Ouest, René-Lévesque, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3A 1N6, Canada",
7452,Vol de véhicule à moteur,2020-09-06,jour,-73.67654438745564,45.5471783498905,"École Saint-André-Apôtre annexe, Rue Tolhurst, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (06), Québec, H3L 3A8, Canada",
7453,Méfait,2020-09-05,soir,-73.49362958403135,45.65112445186116,"Rue Oscar Benoît, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1B 3C7, Canada",
7454,Vol de véhicule à moteur,2020-09-05,soir,-73.50383936713551,45.63229646551967,"11351, Rue Dorchester, Montréal-Est, Agglomération de Montréal, Montréal (06), Québec, H1B 2V7, Canada",
7455,Vol de véhicule à moteur,2020-09-05,soir,-73.50949438730807,45.67011700139073,"13995, Rue Prince Arthur, Pointe-aux-Trembles, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1A 1C2, Canada",
7456,Méfait,2020-09-05,soir,-73.61753351340137,45.61572880067146,"6336, Boulevard Maurice-Duplessis, Montréal-Nord-Est, Montréal-Nord, Montréal, Agglomération de Montréal, Montréal (06), Québec, H1G3M3, Canada",
7457,Méfait,2020-09-05,soir,-73.59939970454604,45.52526148348844,"29, Rue Saint-Viateur Ouest, Mile End, Plateau Mont-Royal, Montréal, Agglomération de Montréal, Montréal (06), Québec, H2T 1L6, Canada",
