Venue Category,Neighborhood,0
Breakfast Spot,Saint-Leonard,5
Breakfast Spot,Sainte-Anne-de-Bellevue,1
Breakfast Spot,Southwest,5
Breakfast Spot,Verdun,4
Breakfast Spot,Ville-Marie,1
Breakfast Spot,Villeray-Saint-Michel-Parc-Extension,4
Breakfast Spot,Westmount,1
Brewery,Anjou,1
Brewery,Lachine,1
Brewery,Mont-Royal,1
Brewery,Rosemont-La Petite-Patrie,3
Brewery,Southwest,3
Brewery,Verdun,3
Brewery,Ville-Marie,1
Brewery,Villeray-Saint-Michel-Parc-Extension,2
Brewery,Westmount,2
Building,Southwest,1
Building,Verdun,1
Building,Westmount,1
Burger Joint,Ahuntsic-Cartierville,1
Burger Joint,Anjou,2
Burger Joint,Cote Saint-Luc,1
Burger Joint,Cote-des-Neiges-Notre-Dame-de-Grace,1
Burger Joint,Dorval,2
Burger Joint,LaSalle,3
Burger Joint,Lachine,1
Burger Joint,Mont-Royal,3
Burger Joint,Outremont,1
Burger Joint,Pointe-Claire,3
Burger Joint,Rosemont-La Petite-Patrie,1
Burger Joint,Saint-Leonard,2
Burger Joint,Sainte-Anne-de-Bellevue,1
Burger Joint,Southwest,1
Burger Joint,Villeray-Saint-Michel-Parc-Extension,1
Burger Joint,Westmount,1
Burrito Place,Southwest,1
Burrito Place,Verdun,1
Burrito Place,Westmount,1
Business Service,Ahuntsic-Cartierville,1
Café,Ahuntsic-Cartierville,5
Café,Cote Saint-Luc,1
Café,Cote-des-Neiges-Notre-Dame-de-Grace,5
Café,Dorval,2
Café,Kirkland,1
Café,LaSalle,2
Café,Lachine,2
Café,Mercier-Hochelaga-Maisonneuve,2
Café,Mont-Royal,13
Café,Outremont,16
Café,Pointe-Claire,1
Café,Rosemont-La Petite-Patrie,6
Café,Sainte-Anne-de-Bellevue,1
Café,Southwest,8
Café,Verdun,4
Café,Ville-Marie,12
Café,Villeray-Saint-Michel-Parc-Extension,13
Café,Westmount,10
Cajun / Creole Restaurant,Saint-Leonard,1
Canal,Southwest,1
Canal,Verdun,1
Canal,Westmount,1
Candy Store,Ville-Marie,1
Caribbean Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,2
Caribbean Restaurant,Verdun,2
Caribbean Restaurant,Ville-Marie,1
Cheese Shop,Ahuntsic-Cartierville,1
Cheese Shop,Montreal-Est,1
Cheese Shop,Southwest,2
Cheese Shop,Verdun,3
Cheese Shop,Villeray-Saint-Michel-Parc-Extension,1
Cheese Shop,Westmount,1
Chinese Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Chinese Restaurant,Dorval,2
Chinese Restaurant,Mercier-Hochelaga-Maisonneuve,1
Chinese Restaurant,Pierrefonds-Roxboro,1
Chinese Restaurant,Pointe-Claire,2
Chinese Restaurant,Saint-Leonard,1
Chinese Restaurant,Villeray-Saint-Michel-Parc-Extension,1
Chocolate Shop,Pointe-Claire,1
Chocolate Shop,Verdun,1
Church,Mont-Royal,1
Church,Ville-Marie,2
Church,Westmount,1
Circus,Ville-Marie,1
Climbing Gym,Ahuntsic-Cartierville,1
Clothing Store,Ahuntsic-Cartierville,1
Clothing Store,Anjou,1
Clothing Store,Cote Saint-Luc,2
Clothing Store,Cote-des-Neiges-Notre-Dame-de-Grace,1
Clothing Store,Kirkland,1
Clothing Store,LaSalle,1
Clothing Store,Mercier-Hochelaga-Maisonneuve,1
Clothing Store,Pointe-Claire,1
Clothing Store,Saint-Leonard,2
Clothing Store,Southwest,1
Clothing Store,Westmount,2
Cocktail Bar,Verdun,1
Cocktail Bar,Ville-Marie,2
Cocktail Bar,Villeray-Saint-Michel-Parc-Extension,1
Coffee Shop,Ahuntsic-Cartierville,3
Coffee Shop,Anjou,9
Coffee Shop,Beaconsfield,3
Coffee Shop,Cote Saint-Luc,4
Coffee Shop,Cote-des-Neiges-Notre-Dame-de-Grace,5
Coffee Shop,Dorval,11
Coffee Shop,Kirkland,6
Coffee Shop,L'ile-Bizard-Sainte-Genevieve,2
Coffee Shop,LaSalle,6
Coffee Shop,Mont-Royal,3
Coffee Shop,Montreal-Est,3
Coffee Shop,Montreal-Nord,4
Coffee Shop,Outremont,1
Coffee Shop,Pierrefonds-Roxboro,2
Coffee Shop,Pointe-Claire,5
Coffee Shop,Riviere-des-Prairies-Pointe-aux-Trembles,1
Coffee Shop,Rosemont-La Petite-Patrie,2
Coffee Shop,Saint-Laurent,2
Coffee Shop,Saint-Leonard,7
Coffee Shop,Sainte-Anne-de-Bellevue,3
Coffee Shop,Southwest,1
Coffee Shop,Verdun,1
Coffee Shop,Ville-Marie,4
Coffee Shop,Villeray-Saint-Michel-Parc-Extension,2
College Gym,Cote-des-Neiges-Notre-Dame-de-Grace,1
College Gym,Outremont,1
Comedy Club,Southwest,1
Comedy Club,Verdun,1
Concert Hall,Mont-Royal,1
Concert Hall,Ville-Marie,2
Convenience Store,Baie-d'Urfe,1
Convenience Store,Kirkland,1
Convenience Store,L'ile-Bizard-Sainte-Genevieve,2
Convenience Store,Mercier-Hochelaga-Maisonneuve,1
Convenience Store,Pointe-Claire,1
Convenience Store,Riviere-des-Prairies-Pointe-aux-Trembles,2
Convenience Store,Rosemont-La Petite-Patrie,1
Convenience Store,Villeray-Saint-Michel-Parc-Extension,1
Cosmetics Shop,Ahuntsic-Cartierville,1
Cosmetics Shop,Mont-Royal,1
Cosmetics Shop,Ville-Marie,2
Creperie,Ville-Marie,1
Cupcake Shop,Mercier-Hochelaga-Maisonneuve,1
Curling Ice,LaSalle,1
Dance Studio,Mont-Royal,1
Dance Studio,Ville-Marie,1
Deli / Bodega,Anjou,1
Deli / Bodega,Beaconsfield,1
Deli / Bodega,Cote-des-Neiges-Notre-Dame-de-Grace,1
Deli / Bodega,Dorval,1
Deli / Bodega,Kirkland,3
Deli / Bodega,Mont-Royal,3
Deli / Bodega,Outremont,1
Deli / Bodega,Pointe-Claire,3
Deli / Bodega,Saint-Leonard,1
Deli / Bodega,Southwest,1
Deli / Bodega,Verdun,1
Department Store,Ahuntsic-Cartierville,2
Department Store,Anjou,1
Department Store,Beaconsfield,1
Department Store,Dorval,1
Department Store,Kirkland,2
Department Store,LaSalle,1
Department Store,Mercier-Hochelaga-Maisonneuve,1
Department Store,Montreal-Nord,1
Department Store,Pointe-Claire,1
Department Store,Saint-Leonard,1
Dessert Shop,Ahuntsic-Cartierville,2
Dessert Shop,Anjou,1
Dessert Shop,Cote-des-Neiges-Notre-Dame-de-Grace,1
Dessert Shop,Lachine,1
Dessert Shop,Rosemont-La Petite-Patrie,2
Dessert Shop,Saint-Leonard,3
Dessert Shop,Southwest,1
Dessert Shop,Ville-Marie,2
Dessert Shop,Westmount,1
Diner,L'ile-Bizard-Sainte-Genevieve,1
Diner,LaSalle,1
Diner,Outremont,1
Diner,Pointe-Claire,1
Diner,Rosemont-La Petite-Patrie,2
Diner,Villeray-Saint-Michel-Parc-Extension,1
Discount Store,Ahuntsic-Cartierville,1
Discount Store,Cote-des-Neiges-Notre-Dame-de-Grace,1
Discount Store,LaSalle,2
Discount Store,Mercier-Hochelaga-Maisonneuve,1
Discount Store,Pierrefonds-Roxboro,1
Dog Run,Rosemont-La Petite-Patrie,1
Donut Shop,Cote-des-Neiges-Notre-Dame-de-Grace,1
Donut Shop,Outremont,1
Donut Shop,Rosemont-La Petite-Patrie,1
Donut Shop,Southwest,1
Donut Shop,Verdun,1
Donut Shop,Villeray-Saint-Michel-Parc-Extension,1
Donut Shop,Westmount,1
Drugstore,Anjou,1
Drugstore,Beaconsfield,1
Drugstore,Kirkland,1
Drugstore,Saint-Leonard,1
Dumpling Restaurant,Westmount,1
Duty-free Shop,Dorval,2
Electronics Store,Dorval,1
Electronics Store,Kirkland,1
Electronics Store,LaSalle,1
Electronics Store,Pointe-Claire,2
Electronics Store,Saint-Leonard,1
Electronics Store,Villeray-Saint-Michel-Parc-Extension,1
English Restaurant,Outremont,1
Escape Room,Southwest,1
Escape Room,Westmount,1
Event Space,Southwest,1
Event Space,Westmount,1
Falafel Restaurant,Ahuntsic-Cartierville,1
Falafel Restaurant,LaSalle,1
Falafel Restaurant,Outremont,1
Falafel Restaurant,Pointe-Claire,1
Falafel Restaurant,Sainte-Anne-de-Bellevue,1
Farmers Market,Ahuntsic-Cartierville,2
Farmers Market,Cote-des-Neiges-Notre-Dame-de-Grace,1
Farmers Market,Lachine,1
Farmers Market,Mercier-Hochelaga-Maisonneuve,1
Farmers Market,Villeray-Saint-Michel-Parc-Extension,1
Fast Food Restaurant,Ahuntsic-Cartierville,2
Fast Food Restaurant,Anjou,3
Fast Food Restaurant,Baie-d'Urfe,1
Fast Food Restaurant,Beaconsfield,3
Fast Food Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,3
Fast Food Restaurant,Dorval,1
Fast Food Restaurant,Kirkland,4
Fast Food Restaurant,L'ile-Bizard-Sainte-Genevieve,1
Fast Food Restaurant,LaSalle,7
Fast Food Restaurant,Lachine,1
Fast Food Restaurant,Mercier-Hochelaga-Maisonneuve,4
Fast Food Restaurant,Montreal-Est,2
Fast Food Restaurant,Montreal-Nord,6
Fast Food Restaurant,Pierrefonds-Roxboro,3
Fast Food Restaurant,Pointe-Claire,4
Fast Food Restaurant,Rosemont-La Petite-Patrie,1
Fast Food Restaurant,Saint-Laurent,2
Fast Food Restaurant,Saint-Leonard,4
Fast Food Restaurant,Sainte-Anne-de-Bellevue,2
Fast Food Restaurant,Verdun,1
Fast Food Restaurant,Villeray-Saint-Michel-Parc-Extension,2
Fish & Chips Shop,Verdun,1
Fish Market,Ahuntsic-Cartierville,1
Fish Market,Rosemont-La Petite-Patrie,1
Fish Market,Verdun,1
Fish Market,Ville-Marie,1
Flea Market,Saint-Leonard,1
Flea Market,Villeray-Saint-Michel-Parc-Extension,1
Flower Shop,Pointe-Claire,1
Food,Anjou,1
Food & Drink Shop,Ahuntsic-Cartierville,1
Food & Drink Shop,Anjou,2
Food & Drink Shop,Cote-des-Neiges-Notre-Dame-de-Grace,3
Food & Drink Shop,Kirkland,1
Food & Drink Shop,L'ile-Bizard-Sainte-Genevieve,1
Food & Drink Shop,LaSalle,1
Food & Drink Shop,Montreal-Nord,1
Food & Drink Shop,Pointe-Claire,2
Food & Drink Shop,Saint-Laurent,1
Food & Drink Shop,Saint-Leonard,3
Food & Drink Shop,Verdun,1
Food & Drink Shop,Westmount,1
Food Truck,Mercier-Hochelaga-Maisonneuve,1
Food Truck,Montreal-Nord,1
French Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
French Restaurant,L'ile-Bizard-Sainte-Genevieve,1
French Restaurant,Mercier-Hochelaga-Maisonneuve,2
French Restaurant,Mont-Royal,4
French Restaurant,Outremont,1
French Restaurant,Rosemont-La Petite-Patrie,2
French Restaurant,Sainte-Anne-de-Bellevue,1
French Restaurant,Southwest,3
French Restaurant,Verdun,3
French Restaurant,Ville-Marie,3
French Restaurant,Villeray-Saint-Michel-Parc-Extension,2
French Restaurant,Westmount,5
Fried Chicken Joint,Montreal-Est,1
Fried Chicken Joint,Riviere-des-Prairies-Pointe-aux-Trembles,1
Fruit & Vegetable Store,Ahuntsic-Cartierville,1
Furniture / Home Store,Cote-des-Neiges-Notre-Dame-de-Grace,1
Furniture / Home Store,Kirkland,5
Furniture / Home Store,L'ile-Bizard-Sainte-Genevieve,1
Furniture / Home Store,LaSalle,1
Furniture / Home Store,Mercier-Hochelaga-Maisonneuve,1
Furniture / Home Store,Mont-Royal,1
Furniture / Home Store,Outremont,1
Furniture / Home Store,Pointe-Claire,1
Furniture / Home Store,Saint-Laurent,1
Furniture / Home Store,Southwest,1
Furniture / Home Store,Ville-Marie,1
Furniture / Home Store,Westmount,1
Garden,Cote-des-Neiges-Notre-Dame-de-Grace,1
Garden,Mercier-Hochelaga-Maisonneuve,5
Garden,Rosemont-La Petite-Patrie,4
Garden,Southwest,1
Garden,Westmount,1
Garden Center,Saint-Laurent,1
Gas Station,Ahuntsic-Cartierville,3
Gas Station,Anjou,3
Gas Station,Beaconsfield,3
Gas Station,Cote-des-Neiges-Notre-Dame-de-Grace,1
Gas Station,Dorval,1
Gas Station,Kirkland,2
Gas Station,LaSalle,2
Gas Station,Lachine,1
Gas Station,Montreal-Est,3
Gas Station,Montreal-Nord,5
Gas Station,Pierrefonds-Roxboro,2
Gas Station,Riviere-des-Prairies-Pointe-aux-Trembles,2
Gas Station,Saint-Laurent,2
Gas Station,Sainte-Anne-de-Bellevue,1
Gastropub,Anjou,1
Gastropub,Dorval,2
Gastropub,Kirkland,1
Gastropub,LaSalle,1
Gastropub,Mercier-Hochelaga-Maisonneuve,1
Gastropub,Montreal-Nord,1
Gastropub,Pointe-Claire,1
Gastropub,Rosemont-La Petite-Patrie,3
Gastropub,Southwest,1
Gastropub,Villeray-Saint-Michel-Parc-Extension,2
Gastropub,Westmount,2
German Restaurant,Lachine,1
Gift Shop,Sainte-Anne-de-Bellevue,1
Go Kart Track,Cote-des-Neiges-Notre-Dame-de-Grace,1
Go Kart Track,Mercier-Hochelaga-Maisonneuve,1
Golf Course,Anjou,1
Golf Course,Kirkland,1
Golf Course,L'ile-Bizard-Sainte-Genevieve,3
Golf Course,Pierrefonds-Roxboro,1
Golf Course,Riviere-des-Prairies-Pointe-aux-Trembles,1
Gourmet Shop,Mont-Royal,1
Gourmet Shop,Southwest,2
Gourmet Shop,Verdun,2
Gourmet Shop,Ville-Marie,1
Gourmet Shop,Westmount,1
Greek Restaurant,Ahuntsic-Cartierville,1
Greek Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Greek Restaurant,Outremont,2
Greek Restaurant,Pierrefonds-Roxboro,1
Greek Restaurant,Pointe-Claire,2
Greek Restaurant,Westmount,1
Grocery Store,Ahuntsic-Cartierville,3
Grocery Store,Anjou,3
Grocery Store,Baie-d'Urfe,1
Grocery Store,Beaconsfield,1
Grocery Store,Cote Saint-Luc,1
Grocery Store,Cote-des-Neiges-Notre-Dame-de-Grace,2
Grocery Store,Kirkland,3
Grocery Store,L'ile-Bizard-Sainte-Genevieve,3
Grocery Store,LaSalle,3
Grocery Store,Lachine,2
Grocery Store,Mercier-Hochelaga-Maisonneuve,3
Grocery Store,Mont-Royal,1
Grocery Store,Montreal-Est,2
Grocery Store,Montreal-Nord,3
Grocery Store,Outremont,1
Grocery Store,Pierrefonds-Roxboro,4
Grocery Store,Pointe-Claire,2
Grocery Store,Riviere-des-Prairies-Pointe-aux-Trembles,2
Grocery Store,Rosemont-La Petite-Patrie,1
Grocery Store,Saint-Leonard,5
Grocery Store,Sainte-Anne-de-Bellevue,1
Grocery Store,Southwest,2
Grocery Store,Verdun,3
Grocery Store,Ville-Marie,1
Grocery Store,Villeray-Saint-Michel-Parc-Extension,4
Grocery Store,Westmount,1
Gym,Ahuntsic-Cartierville,1
Gym,Anjou,1
Gym,Beaconsfield,1
Gym,Cote Saint-Luc,2
Gym,Cote-des-Neiges-Notre-Dame-de-Grace,5
Gym,Kirkland,1
Gym,LaSalle,2
Gym,Outremont,1
Gym,Pierrefonds-Roxboro,2
Gym,Pointe-Claire,5
Gym,Rosemont-La Petite-Patrie,3
Gym,Saint-Laurent,1
Gym,Saint-Leonard,1
Gym,Southwest,1
Gym,Villeray-Saint-Michel-Parc-Extension,1
Gym / Fitness Center,Ahuntsic-Cartierville,1
Gym / Fitness Center,Beaconsfield,2
Gym / Fitness Center,Cote-des-Neiges-Notre-Dame-de-Grace,1
Gym / Fitness Center,Kirkland,3
Gym / Fitness Center,LaSalle,1
Gym / Fitness Center,Mercier-Hochelaga-Maisonneuve,3
Gym / Fitness Center,Mont-Royal,1
Gym / Fitness Center,Rosemont-La Petite-Patrie,1
Gym / Fitness Center,Saint-Leonard,1
Gym / Fitness Center,Verdun,1
Gym / Fitness Center,Westmount,1
Gym Pool,Pierrefonds-Roxboro,1
Harbor / Marina,Beaconsfield,1
Harbor / Marina,LaSalle,1
Harbor / Marina,Ville-Marie,1
Hardware Store,Ahuntsic-Cartierville,1
Hardware Store,Anjou,1
Hardware Store,LaSalle,3
Hardware Store,Lachine,1
Hardware Store,Mercier-Hochelaga-Maisonneuve,2
Hardware Store,Montreal-Est,1
Hardware Store,Montreal-Nord,1
Hardware Store,Riviere-des-Prairies-Pointe-aux-Trembles,1
Hardware Store,Saint-Leonard,1
Hawaiian Restaurant,Southwest,1
Hawaiian Restaurant,Verdun,1
Hawaiian Restaurant,Westmount,1
Health & Beauty Service,Rosemont-La Petite-Patrie,1
Health & Beauty Service,Villeray-Saint-Michel-Parc-Extension,1
Health Food Store,Anjou,1
Health Food Store,Pointe-Claire,1
Historic Site,LaSalle,1
Historic Site,Lachine,1
Historic Site,Mont-Royal,1
Historic Site,Outremont,1
