Venue Category,Neighborhood,0
Liquor Store,Pointe-Claire,2
Liquor Store,Riviere-des-Prairies-Pointe-aux-Trembles,1
Liquor Store,Rosemont-La Petite-Patrie,4
Liquor Store,Saint-Leonard,5
Liquor Store,Sainte-Anne-de-Bellevue,2
Liquor Store,Southwest,2
Liquor Store,Verdun,1
Liquor Store,Villeray-Saint-Michel-Parc-Extension,3
Liquor Store,Westmount,2
Lounge,Ahuntsic-Cartierville,1
Lounge,Dorval,2
Lounge,Mont-Royal,1
Lounge,Outremont,1
Lounge,Rosemont-La Petite-Patrie,1
Lounge,Southwest,2
Lounge,Verdun,2
Lounge,Westmount,1
Malay Restaurant,Southwest,1
Malay Restaurant,Verdun,1
Malay Restaurant,Westmount,1
Market,Cote-des-Neiges-Notre-Dame-de-Grace,1
Market,Pierrefonds-Roxboro,1
Market,Southwest,1
Market,Verdun,1
Market,Westmount,1
Martial Arts School,Pierrefonds-Roxboro,1
Martial Arts School,Villeray-Saint-Michel-Parc-Extension,1
Massage Studio,Cote-des-Neiges-Notre-Dame-de-Grace,1
Massage Studio,Southwest,1
Massage Studio,Westmount,1
Mediterranean Restaurant,Mont-Royal,1
Mediterranean Restaurant,Outremont,2
Mediterranean Restaurant,Southwest,1
Mediterranean Restaurant,Verdun,2
Men's Store,Outremont,2
Metro Station,Villeray-Saint-Michel-Parc-Extension,1
Mexican Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Mexican Restaurant,Lachine,1
Mexican Restaurant,Mont-Royal,1
Mexican Restaurant,Outremont,2
Mexican Restaurant,Southwest,1
Mexican Restaurant,Verdun,1
Mexican Restaurant,Westmount,2
Middle Eastern Restaurant,Ahuntsic-Cartierville,1
Middle Eastern Restaurant,Kirkland,1
Middle Eastern Restaurant,LaSalle,1
Middle Eastern Restaurant,Mont-Royal,1
Middle Eastern Restaurant,Outremont,1
Middle Eastern Restaurant,Pierrefonds-Roxboro,2
Middle Eastern Restaurant,Pointe-Claire,1
Middle Eastern Restaurant,Verdun,1
Modern European Restaurant,Rosemont-La Petite-Patrie,1
Mountain,Mont-Royal,1
Mountain,Outremont,1
Mountain,Westmount,1
Movie Theater,Beaconsfield,1
Movie Theater,Kirkland,1
Movie Theater,LaSalle,1
Movie Theater,Mercier-Hochelaga-Maisonneuve,1
Movie Theater,Mont-Royal,1
Movie Theater,Montreal-Nord,1
Movie Theater,Saint-Leonard,1
Movie Theater,Ville-Marie,2
Moving Target,Baie-d'Urfe,1
Multiplex,LaSalle,1
Museum,Mercier-Hochelaga-Maisonneuve,1
Museum,Mont-Royal,1
Museum,Verdun,1
Museum,Westmount,1
Music Venue,Mont-Royal,2
Music Venue,Ville-Marie,2
New American Restaurant,Ahuntsic-Cartierville,1
New American Restaurant,Ville-Marie,1
Nightclub,Ville-Marie,1
Office,Southwest,1
Office,Verdun,1
Office,Westmount,1
Outdoor Sculpture,Lachine,1
Outdoor Supply Store,Ahuntsic-Cartierville,1
Paper / Office Supplies Store,Ahuntsic-Cartierville,1
Paper / Office Supplies Store,Anjou,1
Paper / Office Supplies Store,Beaconsfield,1
Paper / Office Supplies Store,Kirkland,1
Paper / Office Supplies Store,LaSalle,1
Paper / Office Supplies Store,Mercier-Hochelaga-Maisonneuve,1
Paper / Office Supplies Store,Mont-Royal,1
Paper / Office Supplies Store,Montreal-Nord,1
Paper / Office Supplies Store,Saint-Leonard,1
Paper / Office Supplies Store,Ville-Marie,1
Park,Ahuntsic-Cartierville,3
Park,Anjou,1
Park,Beaconsfield,1
Park,Cote Saint-Luc,1
Park,Cote-des-Neiges-Notre-Dame-de-Grace,6
Park,Dorval,1
Park,Kirkland,1
Park,L'ile-Bizard-Sainte-Genevieve,3
Park,LaSalle,2
Park,Lachine,4
Park,Mercier-Hochelaga-Maisonneuve,3
Park,Mont-Royal,7
Park,Montreal-Nord,2
Park,Outremont,5
Park,Pierrefonds-Roxboro,1
Park,Pointe-Claire,2
Park,Riviere-des-Prairies-Pointe-aux-Trembles,1
Park,Rosemont-La Petite-Patrie,7
Park,Saint-Laurent,4
Park,Saint-Leonard,1
Park,Southwest,5
Park,Verdun,5
Park,Ville-Marie,2
Park,Villeray-Saint-Michel-Parc-Extension,4
Park,Westmount,7
Pastry Shop,Outremont,1
Pastry Shop,Rosemont-La Petite-Patrie,1
Performing Arts Venue,Mercier-Hochelaga-Maisonneuve,1
Performing Arts Venue,Mont-Royal,1
Performing Arts Venue,Ville-Marie,1
Peruvian Restaurant,Rosemont-La Petite-Patrie,1
Peruvian Restaurant,Villeray-Saint-Michel-Parc-Extension,1
Pet Store,Ahuntsic-Cartierville,1
Pet Store,Anjou,1
Pet Store,Cote-des-Neiges-Notre-Dame-de-Grace,1
Pet Store,LaSalle,1
Pet Store,Mercier-Hochelaga-Maisonneuve,1
Pet Store,Pointe-Claire,1
Pet Store,Rosemont-La Petite-Patrie,1
Pet Store,Saint-Leonard,1
Pharmacy,Ahuntsic-Cartierville,5
Pharmacy,Anjou,5
Pharmacy,Baie-d'Urfe,1
Pharmacy,Beaconsfield,3
Pharmacy,Cote Saint-Luc,1
Pharmacy,Cote-des-Neiges-Notre-Dame-de-Grace,1
Pharmacy,Dorval,2
Pharmacy,Kirkland,3
Pharmacy,L'ile-Bizard-Sainte-Genevieve,2
Pharmacy,LaSalle,3
Pharmacy,Lachine,5
Pharmacy,Mercier-Hochelaga-Maisonneuve,4
Pharmacy,Montreal-Est,4
Pharmacy,Montreal-Nord,9
Pharmacy,Pierrefonds-Roxboro,5
Pharmacy,Pointe-Claire,2
Pharmacy,Riviere-des-Prairies-Pointe-aux-Trembles,2
Pharmacy,Saint-Leonard,8
Pharmacy,Sainte-Anne-de-Bellevue,2
Pharmacy,Verdun,2
Pie Shop,Beaconsfield,1
Pie Shop,Kirkland,1
Pie Shop,Pointe-Claire,1
Pizza Place,Ahuntsic-Cartierville,1
Pizza Place,Anjou,3
Pizza Place,Beaconsfield,1
Pizza Place,Cote-des-Neiges-Notre-Dame-de-Grace,2
Pizza Place,Kirkland,3
Pizza Place,L'ile-Bizard-Sainte-Genevieve,1
Pizza Place,LaSalle,6
Pizza Place,Lachine,1
Pizza Place,Mercier-Hochelaga-Maisonneuve,3
Pizza Place,Mont-Royal,1
Pizza Place,Montreal-Nord,1
Pizza Place,Outremont,3
Pizza Place,Pierrefonds-Roxboro,1
Pizza Place,Pointe-Claire,2
Pizza Place,Rosemont-La Petite-Patrie,3
Pizza Place,Saint-Laurent,2
Pizza Place,Sainte-Anne-de-Bellevue,1
Pizza Place,Southwest,3
Pizza Place,Verdun,4
Pizza Place,Ville-Marie,1
Pizza Place,Villeray-Saint-Michel-Parc-Extension,3
Pizza Place,Westmount,2
Planetarium,Mercier-Hochelaga-Maisonneuve,1
Platform,Pierrefonds-Roxboro,1
Playground,Verdun,2
Plaza,Mercier-Hochelaga-Maisonneuve,1
Plaza,Mont-Royal,1
Plaza,Montreal-Est,1
Plaza,Ville-Marie,4
Polish Restaurant,Ville-Marie,1
Pool,Cote Saint-Luc,1
Pool,LaSalle,1
Pool,Pointe-Claire,1
Pool,Verdun,1
Pool Hall,Pierrefonds-Roxboro,1
Portuguese Restaurant,Ahuntsic-Cartierville,1
Portuguese Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Portuguese Restaurant,Lachine,1
Portuguese Restaurant,Mont-Royal,2
Portuguese Restaurant,Montreal-Nord,1
Portuguese Restaurant,Pierrefonds-Roxboro,1
Portuguese Restaurant,Rosemont-La Petite-Patrie,2
Portuguese Restaurant,Saint-Leonard,2
Portuguese Restaurant,Ville-Marie,1
Portuguese Restaurant,Villeray-Saint-Michel-Parc-Extension,3
Poutine Place,Mercier-Hochelaga-Maisonneuve,1
Poutine Place,Rosemont-La Petite-Patrie,1
Print Shop,Cote Saint-Luc,1
Pub,Baie-d'Urfe,2
Pub,Beaconsfield,2
Pub,Cote-des-Neiges-Notre-Dame-de-Grace,1
Pub,Lachine,1
Pub,Mont-Royal,1
Pub,Pointe-Claire,2
Pub,Rosemont-La Petite-Patrie,1
Pub,Southwest,2
Pub,Verdun,1
Pub,Ville-Marie,2
Pub,Westmount,2
Rafting,LaSalle,1
Real Estate Office,Montreal-Nord,1
Record Shop,Anjou,1
Record Shop,Rosemont-La Petite-Patrie,1
Record Shop,Saint-Leonard,1
Recreation Center,Anjou,1
Recreation Center,Montreal-Nord,1
Recreation Center,Rosemont-La Petite-Patrie,1
Recreation Center,Ville-Marie,1
Rental Car Location,Dorval,2
Rental Car Location,Montreal-Nord,1
Rental Service,Kirkland,1
Residential Building (Apartment / Condo),Cote-des-Neiges-Notre-Dame-de-Grace,1
Restaurant,Ahuntsic-Cartierville,2
Restaurant,Anjou,3
Restaurant,Beaconsfield,3
Restaurant,Cote Saint-Luc,1
Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,3
Restaurant,Dorval,1
Restaurant,Kirkland,4
Restaurant,L'ile-Bizard-Sainte-Genevieve,3
Restaurant,LaSalle,1
Restaurant,Lachine,2
Restaurant,Mercier-Hochelaga-Maisonneuve,9
Restaurant,Mont-Royal,4
Restaurant,Montreal-Est,3
Restaurant,Montreal-Nord,3
Restaurant,Outremont,4
Restaurant,Pierrefonds-Roxboro,1
Restaurant,Pointe-Claire,5
Restaurant,Riviere-des-Prairies-Pointe-aux-Trembles,4
Restaurant,Rosemont-La Petite-Patrie,1
Restaurant,Saint-Laurent,1
Restaurant,Saint-Leonard,5
Restaurant,Sainte-Anne-de-Bellevue,1
Restaurant,Southwest,5
Restaurant,Verdun,6
Restaurant,Ville-Marie,6
Restaurant,Villeray-Saint-Michel-Parc-Extension,3
Restaurant,Westmount,3
Russian Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Russian Restaurant,Westmount,1
Salad Place,Cote-des-Neiges-Notre-Dame-de-Grace,1
Salad Place,Mont-Royal,1
Salad Place,Outremont,1
Salad Place,Southwest,1
Salad Place,Ville-Marie,1
Salad Place,Westmount,1
Salon / Barbershop,Mont-Royal,1
Salon / Barbershop,Outremont,1
Sandwich Place,Ahuntsic-Cartierville,2
Sandwich Place,Anjou,2
Sandwich Place,Baie-d'Urfe,1
Sandwich Place,Beaconsfield,3
Sandwich Place,Cote Saint-Luc,2
Sandwich Place,Dorval,2
Sandwich Place,Kirkland,4
Sandwich Place,L'ile-Bizard-Sainte-Genevieve,1
Sandwich Place,LaSalle,3
Sandwich Place,Lachine,1
Sandwich Place,Mercier-Hochelaga-Maisonneuve,4
Sandwich Place,Mont-Royal,1
Sandwich Place,Montreal-Est,2
Sandwich Place,Montreal-Nord,2
Sandwich Place,Outremont,1
Sandwich Place,Pierrefonds-Roxboro,1
Sandwich Place,Pointe-Claire,3
Sandwich Place,Rosemont-La Petite-Patrie,1
Sandwich Place,Saint-Leonard,2
Sandwich Place,Sainte-Anne-de-Bellevue,4
Sandwich Place,Southwest,1
Sandwich Place,Verdun,1
Sandwich Place,Ville-Marie,2
Sandwich Place,Westmount,1
Sausage Shop,Verdun,1
Scenic Lookout,Cote-des-Neiges-Notre-Dame-de-Grace,1
Scenic Lookout,Dorval,1
Scenic Lookout,Mercier-Hochelaga-Maisonneuve,1
Scenic Lookout,Mont-Royal,2
Scenic Lookout,Outremont,2
Scenic Lookout,Saint-Laurent,1
Scenic Lookout,Ville-Marie,1
Scenic Lookout,Westmount,1
Seafood Restaurant,Baie-d'Urfe,1
Seafood Restaurant,Beaconsfield,1
Seafood Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,2
Seafood Restaurant,Kirkland,1
Seafood Restaurant,Mont-Royal,1
Seafood Restaurant,Outremont,2
Seafood Restaurant,Pierrefonds-Roxboro,1
Seafood Restaurant,Saint-Leonard,1
Seafood Restaurant,Sainte-Anne-de-Bellevue,1
Shipping Store,Cote Saint-Luc,1
Shipping Store,Lachine,1
Shipping Store,Montreal-Est,1
Shoe Store,Mercier-Hochelaga-Maisonneuve,1
Shoe Store,Saint-Laurent,1
Shopping Mall,Ahuntsic-Cartierville,2
Shopping Mall,Anjou,1
Shopping Mall,Cote Saint-Luc,1
Shopping Mall,Kirkland,1
Shopping Mall,LaSalle,1
Shopping Mall,Mercier-Hochelaga-Maisonneuve,1
Shopping Mall,Montreal-Est,1
Shopping Mall,Pointe-Claire,2
Shopping Mall,Riviere-des-Prairies-Pointe-aux-Trembles,1
Shopping Mall,Saint-Leonard,2
Shopping Mall,Villeray-Saint-Michel-Parc-Extension,1
Shopping Plaza,Rosemont-La Petite-Patrie,1
Shopping Plaza,Verdun,1
Shopping Plaza,Villeray-Saint-Michel-Parc-Extension,1
Skate Park,Villeray-Saint-Michel-Parc-Extension,1
Skating Rink,Beaconsfield,1
Skating Rink,Kirkland,2
Skating Rink,L'ile-Bizard-Sainte-Genevieve,1
Skating Rink,Mercier-Hochelaga-Maisonneuve,1
Skating Rink,Pierrefonds-Roxboro,2
Skating Rink,Pointe-Claire,1
Skating Rink,Ville-Marie,1
Soccer Field,Beaconsfield,1
Soccer Field,Dorval,1
Soccer Field,Kirkland,2
Soccer Field,Lachine,1
Soccer Stadium,Ahuntsic-Cartierville,1
Soccer Stadium,Cote Saint-Luc,1
Soccer Stadium,LaSalle,1
Soccer Stadium,Lachine,1
Soccer Stadium,Mercier-Hochelaga-Maisonneuve,1
Soccer Stadium,Villeray-Saint-Michel-Parc-Extension,1
South American Restaurant,Mont-Royal,2
South American Restaurant,Montreal-Nord,1
South American Restaurant,Outremont,1
Spa,Cote-des-Neiges-Notre-Dame-de-Grace,1
Spa,Dorval,1
Spa,Kirkland,1
Spa,Mont-Royal,1
Spa,Outremont,1
Spa,Pointe-Claire,1
Spa,Southwest,1
Spa,Verdun,1
Spa,Ville-Marie,3
Spanish Restaurant,Villeray-Saint-Michel-Parc-Extension,1
Speakeasy,Southwest,1
Speakeasy,Ville-Marie,1
Speakeasy,Westmount,1
Sporting Goods Shop,Anjou,1
Sporting Goods Shop,Baie-d'Urfe,1
Sporting Goods Shop,Beaconsfield,1
Sporting Goods Shop,Cote-des-Neiges-Notre-Dame-de-Grace,1
Sporting Goods Shop,Kirkland,2
Sporting Goods Shop,LaSalle,1
Sporting Goods Shop,Pointe-Claire,1
Sporting Goods Shop,Saint-Leonard,1
Sporting Goods Shop,Southwest,1
Sports Bar,Anjou,1
Sports Bar,LaSalle,1
Sports Bar,Montreal-Nord,1
Sports Bar,Saint-Leonard,1
Stadium,Mercier-Hochelaga-Maisonneuve,1
Stadium,Pointe-Claire,1
Steakhouse,Cote-des-Neiges-Notre-Dame-de-Grace,1
Steakhouse,Sainte-Anne-de-Bellevue,1
Steakhouse,Southwest,1
Steakhouse,Ville-Marie,2
Supermarket,Ahuntsic-Cartierville,1
Supermarket,Anjou,3
Supermarket,Beaconsfield,1
Supermarket,Dorval,1
Supermarket,Kirkland,2
Supermarket,LaSalle,4
Supermarket,Mercier-Hochelaga-Maisonneuve,3
Supermarket,Mont-Royal,2
Supermarket,Montreal-Est,2
Supermarket,Montreal-Nord,4
Supermarket,Outremont,2
Supermarket,Riviere-des-Prairies-Pointe-aux-Trembles,1
Supermarket,Saint-Leonard,5
Supermarket,Sainte-Anne-de-Bellevue,1
Supermarket,Southwest,1
Supermarket,Villeray-Saint-Michel-Parc-Extension,2
Supermarket,Westmount,1
Surf Spot,Ville-Marie,1
Sushi Restaurant,Ahuntsic-Cartierville,1
Sushi Restaurant,Anjou,1
Sushi Restaurant,Beaconsfield,1
Sushi Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,2
Sushi Restaurant,Kirkland,2
Sushi Restaurant,Mercier-Hochelaga-Maisonneuve,2
Sushi Restaurant,Mont-Royal,1
Sushi Restaurant,Montreal-Est,1
Sushi Restaurant,Pierrefonds-Roxboro,2
Sushi Restaurant,Pointe-Claire,4
Sushi Restaurant,Riviere-des-Prairies-Pointe-aux-Trembles,1
Sushi Restaurant,Rosemont-La Petite-Patrie,3
Sushi Restaurant,Saint-Leonard,2
Sushi Restaurant,Sainte-Anne-de-Bellevue,1
Sushi Restaurant,Southwest,2
Sushi Restaurant,Verdun,1
Sushi Restaurant,Westmount,2
Szechuan Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Taco Place,Ville-Marie,1
Taco Place,Villeray-Saint-Michel-Parc-Extension,1
Tapas Restaurant,Villeray-Saint-Michel-Parc-Extension,1
Tea Room,Anjou,1
Tea Room,Kirkland,1
Tea Room,Outremont,1
Tea Room,Pointe-Claire,1
Tea Room,Southwest,1
Tea Room,Verdun,1
Tea Room,Ville-Marie,2
Tennis Court,Verdun,1
Tex-Mex Restaurant,Mercier-Hochelaga-Maisonneuve,1
Thai Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Thai Restaurant,Dorval,1
Thai Restaurant,Mercier-Hochelaga-Maisonneuve,2
Thai Restaurant,Montreal-Est,1
Thai Restaurant,Outremont,1
Thai Restaurant,Pierrefonds-Roxboro,1
Thai Restaurant,Riviere-des-Prairies-Pointe-aux-Trembles,1
Thai Restaurant,Rosemont-La Petite-Patrie,1
Thai Restaurant,Saint-Leonard,1
Thai Restaurant,Southwest,1
Thai Restaurant,Ville-Marie,1
Thai Restaurant,Villeray-Saint-Michel-Parc-Extension,1
Theater,Rosemont-La Petite-Patrie,2
Theater,Southwest,1
Theater,Villeray-Saint-Michel-Parc-Extension,1
Theme Park Ride / Attraction,Ville-Marie,1
Thrift / Vintage Store,LaSalle,1
Toy / Game Store,Kirkland,1
Toy / Game Store,Mont-Royal,1
Toy / Game Store,Pointe-Claire,2
Trail,Verdun,1
Train Station,Baie-d'Urfe,2
Train Station,Dorval,2
Train Station,LaSalle,2
Train Station,Lachine,1
Train Station,Pierrefonds-Roxboro,2
Train Station,Saint-Laurent,1
Transportation Service,Dorval,1
Tunnel,Cote Saint-Luc,1
Tunnel,LaSalle,1
Vegetarian / Vegan Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,1
Vegetarian / Vegan Restaurant,Kirkland,1
Vegetarian / Vegan Restaurant,Mont-Royal,1
Vegetarian / Vegan Restaurant,Outremont,3
Vegetarian / Vegan Restaurant,Pointe-Claire,1
Video Store,Montreal-Est,1
Vietnamese Restaurant,Ahuntsic-Cartierville,2
Vietnamese Restaurant,Cote-des-Neiges-Notre-Dame-de-Grace,3
Vietnamese Restaurant,Kirkland,1
Vietnamese Restaurant,Mercier-Hochelaga-Maisonneuve,1
Vietnamese Restaurant,Montreal-Nord,1
Vietnamese Restaurant,Outremont,1
Vietnamese Restaurant,Rosemont-La Petite-Patrie,1
Vietnamese Restaurant,Saint-Leonard,2
Vietnamese Restaurant,Verdun,1
Vietnamese Restaurant,Villeray-Saint-Michel-Parc-Extension,3
Warehouse Store,Anjou,1
Warehouse Store,Pointe-Claire,1
Warehouse Store,Saint-Leonard,1
Wine Bar,Ahuntsic-Cartierville,1
Wine Bar,Mont-Royal,1
Wine Bar,Outremont,1
Wine Bar,Southwest,1
Wine Bar,Ville-Marie,1
Wine Bar,Westmount,1
Women's Store,Mercier-Hochelaga-Maisonneuve,1
Yoga Studio,Anjou,1
Yoga Studio,Cote-des-Neiges-Notre-Dame-de-Grace,1
Yoga Studio,Mont-Royal,1
Yoga Studio,Outremont,1
Yoga Studio,Pierrefonds-Roxboro,1
Yoga Studio,Pointe-Claire,2
Yoga Studio,Saint-Leonard,1
Yoga Studio,Southwest,2
Yoga Studio,Westmount,1
Zoo,Baie-d'Urfe,1
Zoo,Mercier-Hochelaga-Maisonneuve,1
Zoo,Sainte-Anne-de-Bellevue,1
